"MSN","YYYYMM","Publication Value","Publication Unit","Column Order"
"TEAJBUS",197313,-0.456483,Quadrillion Btu,4
"TEAJBUS",197413,-0.482265,Quadrillion Btu,4
"TEAJBUS",197513,-1.066511,Quadrillion Btu,4
"TEAJBUS",197613,-0.177807,Quadrillion Btu,4
"TEAJBUS",197713,-1.948233,Quadrillion Btu,4
"TEAJBUS",197813,-0.336538,Quadrillion Btu,4
"TEAJBUS",197913,-1.649302,Quadrillion Btu,4
"TEAJBUS",198013,-1.0537,Quadrillion Btu,4
"TEAJBUS",198113,-0.077318,Quadrillion Btu,4
"TEAJBUS",198213,-0.574638,Quadrillion Btu,4
"TEAJBUS",198313,0.935235,Quadrillion Btu,4
"TEAJBUS",198413,-0.780957,Quadrillion Btu,4
"TEAJBUS",198513,1.237551,Quadrillion Btu,4
"TEAJBUS",198613,-0.435007,Quadrillion Btu,4
"TEAJBUS",198713,0.031561,Quadrillion Btu,4
"TEAJBUS",198813,0.964223,Quadrillion Btu,4
"TEAJBUS",198913,1.486959,Quadrillion Btu,4
"TEAJBUS",199013,-0.125892,Quadrillion Btu,4
"TEAJBUS",199113,1.039529,Quadrillion Btu,4
"TEAJBUS",199213,1.580533,Quadrillion Btu,4
"TEAJBUS",199313,2.303125,Quadrillion Btu,4
"TEAJBUS",199413,0.243284,Quadrillion Btu,4
"TEAJBUS",199513,2.315491,Quadrillion Btu,4
"TEAJBUS",199613,2.683405,Quadrillion Btu,4
"TEAJBUS",199713,1.636694,Quadrillion Btu,4
"TEAJBUS",199813,0.07752,Quadrillion Btu,4
"TEAJBUS",199913,1.584578,Quadrillion Btu,4
"TEAJBUS",200013,2.720233,Quadrillion Btu,4
"TEAJBUS",200101,0.7847,Quadrillion Btu,4
"TEAJBUS",200102,0.55895,Quadrillion Btu,4
"TEAJBUS",200103,-0.021891,Quadrillion Btu,4
"TEAJBUS",200104,-0.429058,Quadrillion Btu,4
"TEAJBUS",200105,-0.74741,Quadrillion Btu,4
"TEAJBUS",200106,-0.466485,Quadrillion Btu,4
"TEAJBUS",200107,-0.15228,Quadrillion Btu,4
"TEAJBUS",200108,-0.098953,Quadrillion Btu,4
"TEAJBUS",200109,-0.549826,Quadrillion Btu,4
"TEAJBUS",200110,-0.546134,Quadrillion Btu,4
"TEAJBUS",200111,-0.423482,Quadrillion Btu,4
"TEAJBUS",200112,0.293379,Quadrillion Btu,4
"TEAJBUS",200113,-1.798492,Quadrillion Btu,4
"TEAJBUS",200201,0.452091,Quadrillion Btu,4
"TEAJBUS",200202,0.465048,Quadrillion Btu,4
"TEAJBUS",200203,0.315866,Quadrillion Btu,4
"TEAJBUS",200204,-0.179832,Quadrillion Btu,4
"TEAJBUS",200205,-0.448097,Quadrillion Btu,4
"TEAJBUS",200206,-0.084351,Quadrillion Btu,4
"TEAJBUS",200207,0.195708,Quadrillion Btu,4
"TEAJBUS",200208,0.079006,Quadrillion Btu,4
"TEAJBUS",200209,-0.101551,Quadrillion Btu,4
"TEAJBUS",200210,-0.216828,Quadrillion Btu,4
"TEAJBUS",200211,0.090156,Quadrillion Btu,4
"TEAJBUS",200212,0.801858,Quadrillion Btu,4
"TEAJBUS",200213,1.369074,Quadrillion Btu,4
"TEAJBUS",200301,1.246133,Quadrillion Btu,4
"TEAJBUS",200302,1.187225,Quadrillion Btu,4
"TEAJBUS",200303,0.216969,Quadrillion Btu,4
"TEAJBUS",200304,-0.370138,Quadrillion Btu,4
"TEAJBUS",200305,-0.677519,Quadrillion Btu,4
"TEAJBUS",200306,-0.501936,Quadrillion Btu,4
"TEAJBUS",200307,-0.033593,Quadrillion Btu,4
"TEAJBUS",200308,0.066906,Quadrillion Btu,4
"TEAJBUS",200309,-0.477045,Quadrillion Btu,4
"TEAJBUS",200310,-0.414217,Quadrillion Btu,4
"TEAJBUS",200311,0.169836,Quadrillion Btu,4
"TEAJBUS",200312,0.71734,Quadrillion Btu,4
"TEAJBUS",200313,1.129961,Quadrillion Btu,4
"TEAJBUS",200401,1.056311,Quadrillion Btu,4
"TEAJBUS",200402,0.955681,Quadrillion Btu,4
"TEAJBUS",200403,0.000729,Quadrillion Btu,4
"TEAJBUS",200404,-0.214034,Quadrillion Btu,4
"TEAJBUS",200405,-0.327596,Quadrillion Btu,4
"TEAJBUS",200406,-0.367112,Quadrillion Btu,4
"TEAJBUS",200407,-0.158385,Quadrillion Btu,4
"TEAJBUS",200408,-0.207488,Quadrillion Btu,4
"TEAJBUS",200409,-0.148246,Quadrillion Btu,4
"TEAJBUS",200410,-0.309871,Quadrillion Btu,4
"TEAJBUS",200411,-0.086783,Quadrillion Btu,4
"TEAJBUS",200412,0.723223,Quadrillion Btu,4
"TEAJBUS",200413,0.916427,Quadrillion Btu,4
"TEAJBUS",200501,0.893141,Quadrillion Btu,4
"TEAJBUS",200502,0.464583,Quadrillion Btu,4
"TEAJBUS",200503,0.177212,Quadrillion Btu,4
"TEAJBUS",200504,-0.360665,Quadrillion Btu,4
"TEAJBUS",200505,-0.436864,Quadrillion Btu,4
"TEAJBUS",200506,-0.206371,Quadrillion Btu,4
"TEAJBUS",200507,0.077615,Quadrillion Btu,4
"TEAJBUS",200508,0.105599,Quadrillion Btu,4
"TEAJBUS",200509,-0.047591,Quadrillion Btu,4
"TEAJBUS",200510,-0.352149,Quadrillion Btu,4
"TEAJBUS",200511,-0.260633,Quadrillion Btu,4
"TEAJBUS",200512,0.80966,Quadrillion Btu,4
"TEAJBUS",200513,0.863539,Quadrillion Btu,4
"TEAJBUS",200601,0.170216,Quadrillion Btu,4
"TEAJBUS",200602,0.503526,Quadrillion Btu,4
"TEAJBUS",200603,0.229168,Quadrillion Btu,4
"TEAJBUS",200604,-0.465158,Quadrillion Btu,4
"TEAJBUS",200605,-0.705361,Quadrillion Btu,4
"TEEXBUS",197313,2.033086,Quadrillion Btu,3
"TEEXBUS",197413,2.203366,Quadrillion Btu,3
"TEEXBUS",197513,2.323251,Quadrillion Btu,3
"TEEXBUS",197613,2.171688,Quadrillion Btu,3
"TEEXBUS",197713,2.051891,Quadrillion Btu,3
"TEEXBUS",197813,1.920437,Quadrillion Btu,3
"TEEXBUS",197913,2.855114,Quadrillion Btu,3
"TEEXBUS",198013,3.694771,Quadrillion Btu,3
"TEEXBUS",198113,4.307241,Quadrillion Btu,3
"TEEXBUS",198213,4.607601,Quadrillion Btu,3
"TEEXBUS",198313,3.692931,Quadrillion Btu,3
"TEEXBUS",198413,3.786147,Quadrillion Btu,3
"TEEXBUS",198513,4.196178,Quadrillion Btu,3
"TEEXBUS",198613,4.021479,Quadrillion Btu,3
"TEEXBUS",198713,3.81195,Quadrillion Btu,3
"TEEXBUS",198813,4.366453,Quadrillion Btu,3
"TEEXBUS",198913,4.660899,Quadrillion Btu,3
"TEEXBUS",199013,4.752484,Quadrillion Btu,3
"TEEXBUS",199113,5.140965,Quadrillion Btu,3
"TEEXBUS",199213,4.936942,Quadrillion Btu,3
"TEEXBUS",199313,4.258366,Quadrillion Btu,3
"TEEXBUS",199413,4.061146,Quadrillion Btu,3
"TEEXBUS",199513,4.510868,Quadrillion Btu,3
"TEEXBUS",199613,4.633266,Quadrillion Btu,3
"TEEXBUS",199713,4.513995,Quadrillion Btu,3
"TEEXBUS",199813,4.2992,Quadrillion Btu,3
"TEEXBUS",199913,3.714988,Quadrillion Btu,3
"TEEXBUS",200013,4.005866,Quadrillion Btu,3
"TEEXBUS",200101,0.346309,Quadrillion Btu,3
"TEEXBUS",200102,0.284522,Quadrillion Btu,3
"TEEXBUS",200103,0.289176,Quadrillion Btu,3
"TEEXBUS",200104,0.313485,Quadrillion Btu,3
"TEEXBUS",200105,0.355778,Quadrillion Btu,3
"TEEXBUS",200106,0.302793,Quadrillion Btu,3
"TEEXBUS",200107,0.278338,Quadrillion Btu,3
"TEEXBUS",200108,0.337882,Quadrillion Btu,3
"TEEXBUS",200109,0.290538,Quadrillion Btu,3
"TEEXBUS",200110,0.3138,Quadrillion Btu,3
"TEEXBUS",200111,0.328397,Quadrillion Btu,3
"TEEXBUS",200112,0.329428,Quadrillion Btu,3
"TEEXBUS",200113,3.770446,Quadrillion Btu,3
"TEEXBUS",200201,0.292073,Quadrillion Btu,3
