Feb 12 05:58:31 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:33" duration=0 policy_id=10 service=tcp/port:5080 proto=6 src zone=Global dst zone=Global action=Deny sent=0 rcvd=0 src=135.38.7.91 dst=204.146.172.226 src_port=43593 dst_port=5080 session_id=0
Feb 12 05:58:31 alnsvpn1 ALNSVPN1: NetScreen device_id=ALNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:57:07" duration=0 policy_id=2 service=dns proto=17 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=0 src=135.210.82.254 dst=192.168.2.1 src_port=2226 dst_port=53
Feb 12 05:58:31 tdmokxl001.fw.att.com tdmokxl001: NetScreen device_id=tdmokxl001  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:01:19" duration=0 policy_id=1 service=udp/port:1985 proto=17 src zone=V1-Untrust dst zone=V1-Trust action=Deny sent=0 rcvd=0 src=172.19.226.2 dst=224.0.0.2 src_port=1985 dst_port=1985
Feb 12 05:58:32 tdmokxl001.fw.att.com tdmokxl001: NetScreen device_id=tdmokxl001  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:01:19" duration=0 policy_id=7 service=snmp proto=17 src zone=V1-Trust dst zone=V1-Untrust action=Deny sent=0 rcvd=0 src=172.19.226.141 dst=172.19.48.136 src_port=1041 dst_port=161
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:33" duration=0 policy_id=10 service=dns proto=17 src zone=Global dst zone=Global action=Deny sent=0 rcvd=0 src=129.36.211.54 dst=32.77.167.33 src_port=49559 dst_port=53 session_id=0
Feb 12 05:58:32 alnsvpn1 ALNSVPN1: NetScreen device_id=ALNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:57:07" duration=0 policy_id=2 service=dns proto=17 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=0 src=135.210.128.61 dst=192.168.2.1 src_port=1595 dst_port=53
Feb 12 05:58:32 knvful1 knvful1: NetScreen device_id=knvful1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:01:14" duration=2 policy_id=160 service=https proto=6 src zone=Trust dst zone=Untrust action=Permit sent=860 rcvd=1005 src=135.38.17.8 dst=135.38.62.84 src_port=61816 dst_port=443 src-xlated ip=135.38.17.8 port=61816
Feb 12 05:58:32 liidcfw00.fw.att.com liidcfw00: NetScreen device_id=liidcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:43" duration=0 policy_id=12 service=Network Time proto=17 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=0 src=135.71.3.10 dst=135.38.244.3 src_port=123 dst_port=123
Feb 12 05:58:32 liidcfw00.fw.att.com liidcfw00: NetScreen device_id=liidcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:43" duration=0 policy_id=12 service=Network Time proto=17 src zone=Untrust dst zone=Trust action=Deny sent=0 rcvd=0 src=135.71.3.10 dst=135.37.9.18 src_port=123 dst_port=123
Feb 12 05:58:32 alnsvpn1 ALNSVPN1: NetScreen device_id=ALNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:57:07" duration=0 policy_id=170 service=tcp/port:7147 proto=6 src zone=Trust dst zone=Untrust action=Deny sent=0 rcvd=0 src=135.89.8.34 dst=203.163.64.200 src_port=22 dst_port=7147
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:22" duration=12 policy_id=40 service=smtp (tcp) proto=6 src zone=Secure-CSN dst zone=CSN action=Permit sent=64 rcvd=0 src=32.83.244.131 dst=195.183.95.175 src_port=56325 dst_port=25 src-xlated ip=32.83.244.131 port=56325 session_id=126660
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:23" duration=11 policy_id=40 service=smtp (tcp) proto=6 src zone=Secure-CSN dst zone=CSN action=Permit sent=64 rcvd=0 src=32.83.244.131 dst=195.183.95.174 src_port=57014 dst_port=25 src-xlated ip=32.83.244.131 port=57014 session_id=127734
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:22" duration=12 policy_id=40 service=smtp (tcp) proto=6 src zone=Secure-CSN dst zone=CSN action=Permit sent=64 rcvd=0 src=32.83.244.133 dst=195.183.191.229 src_port=64078 dst_port=25 src-xlated ip=32.83.244.133 port=64078 session_id=126742
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:27" duration=7 policy_id=40 service=smtp (tcp) proto=6 src zone=Secure-CSN dst zone=CSN action=Permit sent=31385 rcvd=2625 src=32.83.244.133 dst=194.69.49.33 src_port=64117 dst_port=25 src-xlated ip=32.83.244.133 port=64117 session_id=124820
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:15" duration=19 policy_id=40 service=smtp (tcp) proto=6 src zone=Secure-CSN dst zone=CSN action=Permit sent=1119 rcvd=1146 src=32.83.244.131 dst=62.184.23.71 src_port=57100 dst_port=25 src-xlated ip=32.83.244.131 port=57100 session_id=126216
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:22" duration=12 policy_id=40 service=smtp (tcp) proto=6 src zone=Secure-CSN dst zone=CSN action=Permit sent=64 rcvd=0 src=32.83.244.132 dst=195.183.95.175 src_port=51218 dst_port=25 src-xlated ip=32.83.244.132 port=51218 session_id=126013
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:28" duration=6 policy_id=40 service=smtp (tcp) proto=6 src zone=Secure-CSN dst zone=CSN action=Permit sent=3766 rcvd=1473 src=32.83.244.131 dst=198.151.104.157 src_port=57180 dst_port=25 src-xlated ip=32.83.244.131 port=57180 session_id=127622
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:59:38" duration=1 policy_id=84 service=icmp proto=1 src zone=Trust dst zone=Untrust action=Permit sent=102 rcvd=102 src=135.89.152.118 dst=135.210.208.194 icmp type=8
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:58:40" duration=59 policy_id=84 service=icmp proto=1 src zone=Trust dst zone=Untrust action=Permit sent=58 rcvd=58 src=135.89.102.42 dst=135.210.210.130 icmp type=8
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:58:40" duration=59 policy_id=84 service=icmp proto=1 src zone=Trust dst zone=Untrust action=Permit sent=58 rcvd=58 src=135.89.102.42 dst=135.210.210.129 icmp type=8
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:58:39" duration=60 policy_id=84 service=icmp proto=1 src zone=Trust dst zone=Untrust action=Permit sent=58 rcvd=58 src=135.89.102.42 dst=135.210.210.129 icmp type=8
Feb 12 05:58:32 sydpafw1.fw.att.com sydpafw1-25: NetScreen device_id=sydpafw1-25  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:04:23" duration=0 policy_id=3 service=proto:112/port:1 proto=112 src zone=V1-Untrust dst zone=V1-Trust action=Deny sent=0 rcvd=0 src=135.75.12.19 dst=224.0.0.18
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:58:30" duration=69 policy_id=133 service=DHCP proto=17 src zone=Untrust dst zone=Trust action=Permit sent=1002 rcvd=0 src=135.210.209.65 dst=135.37.6.9 src_port=67 dst_port=67 src-xlated ip=135.210.209.65 port=67
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:58:30" duration=69 policy_id=84 service=DHCP proto=17 src zone=Trust dst zone=Untrust action=Permit sent=1002 rcvd=0 src=135.37.6.9 dst=135.210.209.93 src_port=67 dst_port=68 src-xlated ip=135.37.6.9 port=67
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:58:30" duration=69 policy_id=84 service=DHCP proto=17 src zone=Trust dst zone=Untrust action=Permit sent=1002 rcvd=0 src=135.208.2.36 dst=135.210.209.93 src_port=67 dst_port=68 src-xlated ip=135.208.2.36 port=67
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:28:25" duration=1874 policy_id=133 service=tcp/port:8000 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=58 rcvd=40 src=135.210.208.239 dst=192.168.109.68 src_port=3099 dst_port=8000 src-xlated ip=135.210.208.239 port=3099
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:59:32" duration=7 policy_id=133 service=tcp/port:8000 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=938 rcvd=582 src=135.210.209.21 dst=192.168.109.68 src_port=4000 dst_port=8000 src-xlated ip=135.210.209.21 port=4000
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:59:33" duration=6 policy_id=118 service=syslog proto=17 src zone=Untrust dst zone=Trust action=Permit sent=1130 rcvd=74 src=203.196.117.17 dst=192.168.115.10 src_port=3018 dst_port=514 src-xlated ip=203.196.117.17 port=3018
Feb 12 05:58:32 kcnsvpn1 KCNSVPN1: NetScreen device_id=KCNSVPN1  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:59:33" duration=6 policy_id=118 service=syslog proto=17 src zone=Untrust dst zone=Trust action=Permit sent=1733 rcvd=74 src=203.196.117.17 dst=192.168.115.10 src_port=3018 dst_port=514 src-xlated ip=203.196.117.17 port=3018
Feb 12 05:58:32 kcnsvpn2 KCNSVPN2: NetScreen device_id=KCNSVPN2  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:01" duration=54 policy_id=100 service=https proto=6 src zone=Untrust dst zone=Trust action=Permit sent=0 rcvd=0 src=203.196.117.25 dst=192.168.141.220 src_port=28873 dst_port=443 src-xlated ip=203.196.117.25 port=28873
Feb 12 05:58:32 kcnsvpn2 KCNSVPN2: NetScreen device_id=KCNSVPN2  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:40" duration=15 policy_id=102 service=http proto=6 src zone=Untrust dst zone=Trust action=Permit sent=0 rcvd=0 src=203.196.117.25 dst=135.89.20.83 src_port=28883 dst_port=80 src-xlated ip=203.196.117.25 port=28883
Feb 12 05:58:32 kcnsvpn2 KCNSVPN2: NetScreen device_id=KCNSVPN2  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:50" duration=5 policy_id=133 service=tcp/port:8000 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=0 rcvd=0 src=135.210.208.182 dst=192.168.104.68 src_port=2158 dst_port=8000 src-xlated ip=135.210.208.182 port=2158
Feb 12 05:58:32 kcnsvpn2 KCNSVPN2: NetScreen device_id=KCNSVPN2  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:42" duration=13 policy_id=133 service=tcp/port:8000 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=0 rcvd=0 src=135.210.210.104 dst=192.168.104.68 src_port=4277 dst_port=8000 src-xlated ip=135.210.210.104 port=4277
Feb 12 05:58:32 kcnsvpn2 KCNSVPN2: NetScreen device_id=KCNSVPN2  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:42" duration=13 policy_id=133 service=tcp/port:8000 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=0 rcvd=0 src=135.210.209.21 dst=192.168.109.68 src_port=3998 dst_port=8000 src-xlated ip=135.210.209.21 port=3998
Feb 12 05:58:32 kcnsvpn2 KCNSVPN2: NetScreen device_id=KCNSVPN2  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:57:24" duration=31 policy_id=133 service=tcp/port:8000 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=0 rcvd=0 src=135.210.210.143 dst=192.168.103.68 src_port=3247 dst_port=8000 src-xlated ip=135.210.210.143 port=3247
Feb 12 05:58:32 kcnsvpn2 KCNSVPN2: NetScreen device_id=KCNSVPN2  [No Name]system-notification-00257(traffic): start_time="2007-02-12 09:26:36" duration=1879 policy_id=133 service=tcp/port:8000 proto=6 src zone=Untrust dst zone=Trust action=Permit sent=0 rcvd=0 src=135.210.209.118 dst=192.168.109.68 src_port=2855 dst_port=8000 src-xlated ip=135.210.209.118 port=2855
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:30" duration=4 policy_id=89 service=tcp/port:7308 proto=6 src zone=DMS dst zone=Trust action=Permit sent=322 rcvd=284 src=135.38.62.253 dst=129.37.4.21 src_port=56859 dst_port=7308 src-xlated ip=135.38.62.253 port=56859 session_id=127857
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:30" duration=4 policy_id=89 service=tcp/port:7308 proto=6 src zone=DMS dst zone=Trust action=Permit sent=322 rcvd=284 src=135.38.62.253 dst=129.37.4.21 src_port=56861 dst_port=7308 src-xlated ip=135.38.62.253 port=56861 session_id=125548
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:30" duration=4 policy_id=89 service=tcp/port:7308 proto=6 src zone=DMS dst zone=Trust action=Permit sent=322 rcvd=284 src=135.38.62.253 dst=129.37.4.21 src_port=56860 dst_port=7308 src-xlated ip=135.38.62.253 port=56860 session_id=126114
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:23" duration=11 policy_id=65 service=http proto=6 src zone=CSN dst zone=Secure-CSN action=Permit sent=132 rcvd=0 src=32.233.231.40 dst=32.77.2.203 src_port=1075 dst_port=80 src-xlated ip=32.233.231.40 port=1075 session_id=125316
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:57:54" duration=40 policy_id=22 service=dns proto=17 src zone=CSN dst zone=Secure-CSN action=Permit sent=430 rcvd=0 src=32.229.52.203 dst=129.36.211.54 src_port=4603 dst_port=53 src-xlated ip=32.229.52.203 port=4603 session_id=125084
Feb 12 05:58:32 kccdcfw00.fw.att.com kccdcfw00: NetScreen device_id=kccdcfw00  [No Name]system-notification-00257(traffic): start_time="2007-02-12 10:58:23" duration=11 policy_id=65 service=http proto=6 src zone=CSN dst zone=Secure-CSN action=Permit sent=132 rcvd=0 src=32.239.20.82 dst=32.77.2.202 src_port=3236 dst_port=80 src-xlated ip=32.239.20.82 port=3236 session_id=124986
