68.142.249.179 - - [13/Dec/2005:19:41:48 -0800] "GET /bridge-loan.html HTTP/1.0" 404 298 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
68.142.249.27 - - [13/Dec/2005:19:43:12 -0800] "GET /comment.php?article_id=074&action=new HTTP/1.0" 404 293 "-" "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
69.227.61.241 - - [13/Dec/2005:19:44:42 -0800] "GET / HTTP/1.1" 403 4251 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:44:42 -0800] "GET /icons/apache_pb2.gif HTTP/1.1" 200 2414 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:44:42 -0800] "GET /icons/powered_by_rh.png HTTP/1.1" 200 1213 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:44:44 -0800] "GET / HTTP/1.1" 403 4251 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:44:44 -0800] "GET /icons/apache_pb2.gif HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:44:44 -0800] "GET /icons/powered_by_rh.png HTTP/1.1" 304 - "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:07 -0800] "GET /index.html HTTP/1.1" 404 289 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:09 -0800] "GET /index.html HTTP/1.1" 404 289 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:09 -0800] "GET /index.html HTTP/1.1" 404 289 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
69.227.61.241 - - [13/Dec/2005:19:45:12 -0800] "GET / HTTP/1.1" 403 4251 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8) Gecko/20051111 Firefox/1.5"
